,Topic,Count,Name
0,-1,4054,-1_islam_christ_testimony_muslim
1,0,341,0_prince_christian prince_prince debates_christian prince debates
2,1,167,1_islam christ testimony_christ testimony_testimony_islam christ
3,2,163,2_corner_speakers corner_speakers_speakers corner speakers
4,3,141,3_arabic_abdallahm_know dr zakir_ki shaadi
5,4,138,4_sam_sam shamoun_shamoun_debate sam
6,5,132,5_song_christian song_arabic christian_arabic christian song
7,6,132,6_women_women islam_muslim women_womens
8,7,121,7_jesus god_god_jesus_god jesus
9,8,115,8_jesus_jesus god_jesus muslim_god
10,9,111,9_qadhi_yasir_yasir qadhi_dr yasir
11,10,106,10_bob_bob speakers_bob speakers corner_islam bob
12,11,104,11_corner allah_speakers corner allah_allah_pray
13,12,102,12_deedat_ahmed deedat_ahmed_sheikh ahmed deedat
14,13,99,13_scientific_miracles_miracles quran_scientific miracles
15,14,94,14_qurans speakers_qurans speakers corner_different_qurans
16,15,90,15_speakers corner muhammad_corner muhammad_prophet speakers corner_prophet speakers
17,16,89,16_uthman_uthman ibn_farooq_ibn
18,17,87,17_preservation_quran preservation_preserved_preservation quran
19,18,85,18_prophet_prophet muhammad_muhammad_amazing prophet
20,19,84,19_bob_bob speakers corner_bob speakers_ft bob
21,20,80,20_muhammed_prophet muhammed_live muhammed_live
22,21,79,21_marriage_child_marriages_child marriage
23,22,78,22_contradictions_quran_contradictions quran_qurans problems
24,23,77,23_bible_bible corrupted_study_corrupted
25,24,77,24_fun_fun islamic_fun islamic fact_islamic fact
26,25,73,25_wood_david wood_david_dr david
27,26,72,26_left islam_left_jesus islam christ_jesus islam
28,27,70,27_mecca_search place episode_mecca search_mecca search place
29,28,67,28_slavery_slavery islam_slaves_slave
30,29,67,29_jehovahs_jehovahs witnesses_witnesses_jehovah
31,30,66,30_scripture twisting 101_twisting 101_scripture twisting_101
32,31,66,31_paperboy_paperboy speakers corner_paperboy speakers_paperboy vs
33,32,59,32_sharia_law_muslim talmud_sharia law
34,33,59,33_jihad_jihadis_crusades_jihad vs
35,34,59,34_trinity_trinity explained_explained_corner trinity
36,35,59,35_shabir_ally_shabir ally_refuting shabir
37,36,59,36_aisha_aishas_married_age
38,37,58,37_channel_youtube_livestream_year
39,38,56,38_ahmad_ex muslim ahmad_muslim ahmad_creation islam
40,39,56,39_bob speakers_bob speakers corner_bob_speakers corner new
41,40,56,40_defending bible_bible_ep_inspiration bible
42,41,56,41_allah_nature allah_allah amazing_nature
43,42,53,42_discussion muslim_discussion_live discussion_live discussion muslim
44,43,50,43_zakir_zakir naik_naik_dr zakir
45,44,50,44_paul_apostle_apostle paul_paul apostle
